cod_tipveh;tipo_vehiculo
1;_SEDAN
2;.SEDAN 2 PUERTAS
3; .SEDAN 4 PUERTAS
4;.CONVERTIBLE
5;.COUPE
6;.DOBLE FAETON
7; .VICTORIA
8; .LIMOUSINE
9;_MOTO COUPE
10;_AUTO DE CARRERA
11;_SEDAN 3 PUERTAS
12;_COUPE 3 PUERTAS
13;_SEDAN 5 PUERTAS
14; TIPO INVALIDO
15;FURGON TIPO INVALIDO
16;CAMIONETA TIPO INVALIDO
17;CAMIONETA CAB SIMPLE TIPO INVA
18;SEMIRREM. PORTACONTENEDOR TIPO
20;_CAMIONETA CABINA EXTENDIDA
21;CAMIONETA RURAL #  RURAL
22;_RURAL 2 PUERTAS
23;_RURAL 4 PUERTAS
24;_RURAL 5 PUERTAS
25;_PICK UP
26;CAMIONETA CAB.DOB. C/CAJA
27;CAMIONETA FURGON
28;CAMION CAB.SIMP.BLINDADO
29;_RURAL 3 PUERTAS
30;CAMIONETA CAB EXT. TIPO INVALI
32;_TRAILER 1 EJE
33;TRAILER 2 EJES TIPO INVALIDO
34;CTA.FUR/ISOTERMICO TIPO INVALI
35;SEMIRREMOLQUE
36;_SEMIR.CIST.
37;_UNIDAD MOVIL
38;A PRUEBA TIPO INVALIDO
40;_MAQUINARIA VIAL E INDUSTRIAL
41;_CAMION
42;CAMION C.SIMP.TRACTOR# TRACTO
43;_ACOPLADO
44;_REMOLQUE VAR. EJES
45;_CASA AUTOMOVIL
46;OMNIBUS
47;_MICRO
48;TRACTOR AGRICOLA
49;MAQ. INDUSTRIAL C/PROP.
50;CASA RODANTE C/PROPULSION
54;BICICLETA TIPO INVALIDO
61;MOTO/MOTONETA
62;_MOTONETA
63;CICLOMOTOR
64;TRICICLO
65;_MOTO
66;TRICICLO FURGON TIPO INVALIDO
72; .BUGUY
73;_HATCH 4 PUERTAS
74; .HATCH 5 PUERTAS
75;_ACOPLADO CON VOLCADORA
77;_SEMI REMOLQUE CON VOLCADORA
80;CAMION C.SIMP.RECOLECT.BASURA
81;_CAMION CARGA GENERAL
82;CAMION CAB.SIMP.C/FURGON# BOX
83;_FURGON BLINDADO
84;_CAMION CON TANQUE
85;_CAMION FURGON TERMICO
86;_CAMION CON REGADOR
87;_TRAYLER PERFORADORA
88;CAMION CAB.SIMP.C/HORMIGONERA
89;_CAMION CON GUINCHE
90;_VIVIENDA/OFICINA
91;_TODO TERRENO
92;_CAMION CON CUCHETA
93;_CUATRICICLO
94;CUADRICICLO/CUATRICICLO
95;MINIBUS
96;CONVERTIBLE COUPE TIPO INVALID
97;CAMIONETA FURGON TIPO INVALIDO
99;CAMION - CH/ CABINA TIPO INVAL
100;TRICICLO PICK UP
101;TRICICLO PICK UP FURGON
102;_TRICICLO PICK UP RURAL
103;TRICICLO PICK UP C/VOLCADORA
104;_CAMION GRUA
105;CASA RODANTE S/PROP
106;_AMBULANCIA
107;CAMION CAB.SIMP.BAROMETRICA
111;CAMIONETA TODO TERRENO TIPO IN
112;CAMIONETA D/CAB T/TERRENO TIPO
114;_TRAYLER COMERCIAL
115;_CAMION MAS DE 1 EJE
116;CAMION CAB.SIMP.C/VOLCADORA
117;_CAMION TRACTOR DE ARRASTRE
118;_MAQUINARIA INDUSTRIAL
119;_AUTOELEVADOR
120;_MOTOCICLETA
121; .VOITURETTE
122; .CABRIOLET
123;CAMION CAB.DOB. CHASIS
124;CAMIONETA CAB. Y MEDIA C/CAJA
125;_CAMION CABINA Y MEDIA
126;_MICROCOUPE
127;REMOLQUE / ACOPLADO /ZORRA
130;_REMOLQUE CON VOLCADORA
133;CAMION AMBULANCIA TIPO INVALID
135;RURAL 5P 4X4 TIPO INVALIDO
141;SEMI- REMOLQUE FURGÓN TIPO INV
160;MOTOR HOME TIPO INVALIDO
183;_CAMION BRINDADO
206;FURGÓN AMBULANCIA TIPO INVALID
223;CAMION DC FURGON TIPO INVALIDO
226;CAMIONET D/CAB FURG TIPO INVAL
227;CAMIONETA FURG TERM TIPO INVAL
228;_REMOLQUE FURGON
250;CAMION CHASIS TIPO INVALIDO
341;SEMI-REMOLQUE C/TOLVA TIPO INV
381;CAMION PLAT. C/ MALACATE TIPO
500;CAMION CAB.SIMP.CISTERNA
503;C/VOLCADORA TIPO INVALIDO
504;SEMIREMOLQUE FORESTAL TIPO INV
505; .HATCH 3 PUERTAS
506;MAQ. AGRICOLA S/PROP.
507;MAQ. INDUSTRIAL S/PROP
508;CAMION CAB.SIMP.DESOBSTRUCTOR
509;_CAMION CON TANQUE Y TOLVA
510;TRAILER
511;CAMION CAB.SIMP.COMPACTADOR
512; .SUV
513;CAMION C.SIMP.C/REGAD.ASFALTO
514;CAMION CAB.SIMP.C/REGADOR AGUA
515;CAMION C.SIMP.C/ESPARC.CEMENTO
516;CAMION CAB.SIMP.C/CAJA
517;_CAMION CON CHATA
518;_CAMION 6X2
519;_CAMION 6X4
520;_CAMION AUXILIO MECANICO
521;CAMION CAB.SIMP.BOMBERO
522;_CAMION BOX
523;_CAMION BOX REEFER
524;_CAMION EQUIP. BETONEIRA HIDRA
525;CAMION C.SIMP.ESPARC. CEMENTO
526;CAMION C.SIMP.ESPARC.GRAVILLA
527;CAMION CAB.SIMP.HIDROELEVADOR
528;_CAMION HIDROLAVADOR/SUCCIONAD
529;CAMION CAB.SIMP.LAVA CONTENED
