dsc_avenida;dsc_int_anterior;dsc_int_siguiente;latitud;longitud
8 de Octubre;Cipriano Miro;Serrato;-34.874790;-56.140310
Agraciada;C M Ramirez;Freire;-34.855372;-56.221586
Bv Artigas;Cufre;Gral Flores;-34.870230;-56.173220
Bv Artigas;Garibaldi;Martin Fierro;-34.883460;-56.166214
Bv Batlle y Ordonez;8 de Octubre;Cabrera;-34.880461;-56.146350
Colonia;German Barbato;Ejido;-34.904613;-56.186306
E V Haedo;Paullier;Acevedo Diaz;-34.896109;-56.167913
Ejido;18 de Julio;Colonia;-34.905312;-56.186851
Julio Herrera y Obes;Mercedes;Colonia;-34.904753;-56.194854
L A de Herrera;Rambla;26 de Marzo;-34.905897;-56.136828
L A de Herrera;Setembrino Pereda;Varela S;-34.869125;-56.166318
Rambla;Montero;Solano Antuna;-34.919713;-56.148934
Requena;18 de Julio;Colonia;-34.899083;-56.170060
San Jose;Andes;Convencion;-34.907371;-56.197516
Suarez;Lucas Obes;Bv Artigas;-34.871423;-56.196600
21 de Setiembre;Sarmiento;Bv Artigas;-34.913284;-56.162377
8 de Octubre;Avelino Miranda;Presidente Berro;-34.892460;-56.162690
Av Brasil;Benito Blanco;26 de Marzo;-34.911658;-56.151278
Av Italia;Bolonia;Ancona;-34.882306;-56.081664
Av Italia;Matias Abacu;L A de Herrera;-34.888729;-56.147789
Bv Artigas;L A de Herrera;Gallinal;-34.871960;-56.167490
Bv Batlle y Ordonez;Canstatt;Larranaga;-34.875409;-56.153225
Bv Batlle y Ordonez;Ramon Anador;Av Italia;-34.887473;-56.136820
Cerro Largo;Yaguaron;Rondeau;-34.901163;-56.190841
Garibaldi;Centenario;8 de Octubre;-34.889810;-56.159280
Gral Flores;Av de las Leyes;Yatay;-34.889350;-56.186440
L A de Herrera;Gral San Martin;Gral Flores;-34.866440;-56.172620
Raissignier;Cno Carrasco;8 de Octubre;-34.871110;-56.134320
Rivera;14 de Julio;Rosell y Rius;-34.903100;-56.147470
San Quintin;Santa Lucia;Garzon;-34.852648;-56.223283
Saravia;Mendoza;Gral Flores;-34.833109;-56.145628
Suarez;Grito de Asencio;Bv Artigas;-34.872536;-56.196429
8 de Octubre;Bv Batlle y Ordonez;Sanguinetti;-34.878660;-56.146580
Av Italia;Avelino Miranda;Bv Artigas;-34.894478;-56.163857
Belloni;8 de Octubre;Acceso Terminal S;-34.854810;-56.132300
Benito Blanco;21 de Setiembre;Bv Espana;-34.915828;-56.149900
Bv Artigas;18 de julio;Canaro;-34.898792;-56.164361
Bv Batlle y Ordonez;Cardal;Av Italia;-34.885883;-56.138918
Carreras Nacionales;Sainz Rosas;Gral Flores;-34.844938;-56.152969
Gral Flores;Gallinal;Garibaldi;-34.875670;-56.178980
Hipolito Yrigoyen;Igua;Av Italia;-34.885966;-56.110576
L A de Herrera;Gualeguay;Gral Flores;-34.867630;-56.170840
Rambla;Gral Paz;Gallinal;-34.895172;-56.089158
Rambla;L A de Herrera;Buxareo;-34.909600;-56.140944
Ricaldoni;Albo;Canning;-34.894549;-56.159502
Rio Negro;Libertador;Colonia;-34.904899;-56.193673
26 de Marzo;Pereira;Av Brasil;-34.911057;-56.151196
Av Italia;Mataojo;Solano Lopez;-34.886792;-56.129075
Avelino Miranda;8 de Octubre;Bv Artigas;-34.893083;-56.164427
Bv Batlle y Ordonez;Cabrera;8 de Octubre;-34.879770;-56.147220
Bv Batlle y Ordonez;Carafi;Garzon;-34.827224;-56.220600
Garzon;Ariel;Millan;-34.833855;-56.221645
Millan;Eugenio Alsina;Garzon;-34.834099;-56.222302
Morquio;Ricaldoni;Bv Artigas;-34.897095;-56.163972
Ponce;Rivera;Bv Artigas;-34.904713;-56.162828
Rivera;Arenal Grande;Brandzen;-34.902055;-56.174177
8 de Octubre;Mariano Moreno;Cibils;-34.883520;-56.155450
Av Italia;Gallinal;Hipolito Yrigoyen;-34.886696;-56.109244
Bv Artigas;Penco;Gral Flores;-34.870410;-56.175380
Bv Espana;Ellauri;Benito Blanco;-34.914897;-56.150400
C M Ramirez;Camambu;Acceso Ta-Ta;-34.873417;-56.246279
Canelones;Acevedo Diaz;Bv Artigas;-34.906735;-56.164427
Garibaldi;Pando;Gral Flores;-34.876080;-56.180390
Joanico;Bv Batlle y Ordonez;Larranaga;-34.880150;-56.151490
L A de Herrera;Demostenes;Rivera;-34.900257;-56.139215
L A de Herrera;Francisco Simon;Asilo;-34.883210;-56.151520
Magallanes;Mercedes;Colonia;-34.901957;-56.180331
Rambla;L A de Herrera;26 de Marzo;-34.906333;-56.133078
Rodo;Requena;Bv Artigas;-34.902829;-56.164944
Agraciada;Grito de Asencio;Bv Artigas;-34.873261;-56.201531
Alejandro Korn;Rambla Euskal Erria;Av Italia;-34.886948;-56.118688
Av Italia;Hipolito Yrigoyen;Gallinal;-34.886028;-56.100543
Bolivia;Rivera;Av Italia;-34.884218;-56.082956
Bv Artigas;Gral Flores;Penco;-34.870392;-56.177658
Bv Artigas;Hocquart;Miguelete;-34.890943;-56.165560
Bv Artigas;Martin Fierro;Garibaldi;-34.884592;-56.166100
Bv Espana;Libertad;Bv Artigas;-34.911249;-56.162091
Evaristo Ciganda;Millan;Agraciada;-34.876570;-56.197230
L A de Herrera;Placido Ellauri;Rivera;-34.901934;-56.138191
Rambla;Arrascaeta;Hipolito Yrigoyen;-34.895919;-56.109447
Rambla;Morales;Jackson;-34.914494;-56.173994
Rivera;Bv Artigas;Ponce;-34.902720;-56.162320
Rivera;Colombes;Asturias;-34.894310;-56.118470
Sarmiento;Requena;Rambla;-34.915369;-56.168358
18 de Julio;Eduardo Acevedo;Rivera;-34.901707;-56.175376
26 de Marzo;Tezanos;Bonavita;-34.905325;-56.134761
Av Brasil;Brito del Pino;Bv Artigas;-34.906097;-56.162718
Bolivia;Cno Carrasco;Av Italia;-34.882342;-56.083577
Bv Artigas;Ponce;Canelones;-34.906600;-56.163642
Camambu;Ruta 1;C M Ramirez;-34.869977;-56.239758
Daniel Munoz;Martin C Martinez;Acevedo Diaz;-34.895946;-56.168014
Ellauri;21 de Setiembre;Bv Espana;-34.914572;-56.153585
