dsc_avenida,dsc_int_anterior,dsc_int_siguiente,latitud,longitud
Uruguayana,12 de Diciembre,Bv Artigas,-34.873600,-56.204285
Hipolito Yrigoyen,Rivera,Av Italia,-34.887927,-56.110028
Bv Artigas,Bv Espana,Canelones,-34.907443,-56.163561
Agraciada,C M Ramirez,Freire,-34.855372,-56.221586
Garibaldi,Pando,Gral Flores,-34.876080,-56.180390
Amezaga,Arenal Grande,Gral Flores,-34.886220,-56.183720
Carreras Nacionales,Sainz Rosas,Gral Flores,-34.844938,-56.152969
Zufriategui,Coraceros,Agraciada,-34.862684,-56.212248
C M Ramirez,Japon,Camambu,-34.869854,-56.240601
Bv Espana,Rambla,Benito Blanco,-34.915119,-56.149044
8 de Octubre,Cipriano Miro,Serrato,-34.874790,-56.140310
Julio Herrera y Obes,Mercedes,Colonia,-34.904753,-56.194854
Benito Blanco,21 de Setiembre,Bv Espana,-34.915828,-56.149900
L A de Herrera,Rambla,26 de Marzo,-34.906172,-56.136634
Uruguayana,Capurro,Bv Artigas,-34.872699,-56.205994
Bv Batlle y Ordonez,Carafi,Garzon,-34.827224,-56.220600
8 de Octubre,Gral Villagran,Raissignier,-34.869880,-56.134890
Bv Batlle y Ordonez,Cabrera,8 de Octubre,-34.879770,-56.147220
C M Ramirez,Llupes,M Herrera y Obes,-34.857615,-56.225499
Garzon,Ariel,Bv Batlle y Ordonez,-34.828295,-56.220047
Mendoza,Saravia,Gral Flores,-34.837028,-56.149465
Millan,Bell,Garzon,-34.834811,-56.221060
18 de Julio,8 de Octubre,Bv Artigas,-34.897926,-56.165434
L A de Herrera,Marne,Entrada Nuevocentro,-34.868283,-56.169768
Rodo,Requena,Bv Artigas,-34.902829,-56.164944
Av Italia,Santa Monica,Cooper,-34.878111,-56.068061
Comercio,Joanico,8 de Octubre,-34.875750,-56.143440
Soca,Brito del Pino,Rivera,-34.902187,-56.156460
Ejido,Canelones,Soriano,-34.907976,-56.186627
Arenal Grande,Mercedes,Colonia,-34.899763,-56.174753
Rambla,Montero,Bv Espana,-34.916417,-56.148942
Rambla,Bv Espana,Montero,-34.922861,-56.152192
Albo,8 de Octubre,Av Italia,-34.891367,-56.158957
Belloni,8 de Octubre,Acceso Terminal S,-34.854810,-56.132300
Larranaga,Monte Caseros,Joanico,-34.879760,-56.152480
Ricaldoni,Ponce,Merola,-34.897084,-56.159030
C M Ramirez,Camambu,Acceso Ta-Ta,-34.873417,-56.246279
Garibaldi,Centenario,8 de Octubre,-34.889810,-56.159280
Bv Artigas,Accesos,Uruguayana,-34.873224,-56.205881
Bolivia,Rivera,Av Italia,-34.884218,-56.082956
Libertador,Mercedes,Colonia,-34.904899,-56.193673
Garibaldi,Amezaga,Bv Artigas,-34.884370,-56.166584
Acevedo Diaz,Garibaldi,Ferrer Serra,-34.894152,-56.167498
C M Ramirez,Puerto Rico,Grecia,-34.874317,-56.252240
21 de Setiembre,Sarmiento,Bv Artigas,-34.913284,-56.162377
Bv Artigas,Gral Flores,Penco,-34.870392,-56.177658
26 de Marzo,Tezanos,Bonavita,-34.905325,-56.134761
La Paz,Yaguaron,Libertador,-34.899267,-56.190369
Uruguay,Arenal Grande,Fernandez Crespo,-34.898911,-56.176615
Joanico,Comercio,Bv Batlle y Ordonez,-34.878133,-56.148014
L A de Herrera,Placido Ellauri,26 de Marzo,-34.905423,-56.137037
Rivera,Ponce,Bv Artigas,-34.902620,-56.163050
Bv Artigas,Palmar,Rivera,-34.900440,-56.164380
Solano Lopez,Rivera,Av Italia,-34.887512,-56.129107
8 de Octubre,Cibils,Mariano Moreno,-34.884180,-56.155480
Bv Batlle y Ordonez,8 de Octubre,Cabrera,-34.880461,-56.146350
Francisco Urdaneta,Uruguayana,Agraciada,-34.875762,-56.199447
M Herrera y Obes,Angel Salvo,C M Ramirez,-34.858336,-56.225519
Av Italia,L A de Herrera,Las Heras,-34.889656,-56.149612
Garibaldi,Urquiza,8 de Octubre,-34.888870,-56.160850
Bv Artigas,Penco,Gral Flores,-34.870410,-56.175380
Rivera,14 de Julio,Rosell y Rius,-34.903100,-56.147470
Saravia,Mendoza,Gral Flores,-34.833109,-56.145628
Rambla,Bv Batlle y Ordonez,Solano Lopez,-34.898872,-56.121019
8 de Octubre,Sanguinetti,Bv Batlle y Ordonez,-34.878660,-56.147140
Colonia,German Barbato,Ejido,-34.904613,-56.186306
Cerro Largo,Yaguaron,Rondeau,-34.901163,-56.190841
Luis Batlle Berres,Tomkinson,C M Ramirez,-34.858360,-56.227729
Ellauri,21 de Setiembre,Bv Espana,-34.914572,-56.153585
Agraciada,Grito de Asencio,Bv Artigas,-34.873261,-56.201531
Alejandro Korn,Rambla Euskal Erria,Av Italia,-34.886948,-56.118688
Av Italia,Zum Felde,Bolivia,-34.883363,-56.085006
Av Italia,Hipolito Yrigoyen,Gallinal,-34.886028,-56.100543
26 de Marzo,Pereira,Av Brasil,-34.911057,-56.151196
Libertador,Galicia,La Paz,-34.900095,-56.191491
L A de Herrera,Rambla,26 de Marzo,-34.905897,-56.136828
Canelones,Acevedo Diaz,Bv Artigas,-34.906735,-56.164427
Solano Lopez,Rivera,Rambla,-34.897400,-56.120289
Agraciada,Hermanos Gil,Bv Artigas,-34.871494,-56.202848
Magallanes,Mercedes,Colonia,-34.901957,-56.180331
Rambla,Gral Paz,Gallinal,-34.895172,-56.089158
Bv Espana,Libertad,Bv Artigas,-34.911249,-56.162091
Gral Flores,Av de las Leyes,Yatay,-34.889350,-56.186440
Rambla,L A de Herrera,Buxareo,-34.909600,-56.140944
Av Brasil,Benito Blanco,26 de Marzo,-34.911658,-56.151278
Andes,18 de Julio,Colonia,-34.906008,-56.198115
Bolivia,Cno Carrasco,Av Italia,-34.882342,-56.083577
Av Italia,Gallinal,Hipolito Yrigoyen,-34.886696,-56.109244
Bv Batlle y Ordonez,Ramon Anador,Rivera,-34.897320,-56.124630
Av Italia,Caldas,Colombes,-34.887157,-56.118535
Bv Artigas,Hocquart,Nueva Palmira,-34.889533,-56.165523
Av Brasil,Brito del Pino,Bv Artigas,-34.906097,-56.162718
Av Italia,Centenario,Albo,-34.892014,-56.158914
Acevedo Diaz,18 de Julio,Rivera,-34.901269,-56.166669
Bv Artigas,Hocquart,Miguelete,-34.890943,-56.165560
Bv Batlle y Ordonez,Ramon Anador,Rivera,-34.896940,-56.125230
Rivera,Acceso Cementerio,Bv Batlle y Ordonez,-34.897900,-56.125370
Bv Artigas,Cufre,Gral Flores,-34.870230,-56.173220
Rivera,Rosell y Rius,14 de Julio,-34.902720,-56.147240
Requena,18 de Julio,Colonia,-34.899083,-56.170060
Av Brasil,26 de Marzo,Benito Blanco,-34.913389,-56.150044
E V Haedo,Paullier,Acevedo Diaz,-34.895946,-56.168014
San Jose,Rio Negro,Paraguay,-34.907094,-56.193086
Garzon,Casavalle,Saravia,-34.814485,-56.220677
L A de Herrera,Gral San Martin,Gral Flores,-34.866440,-56.172620
Gral Flores,Aramburu,Blandengues,-34.883180,-56.182980
Bv Artigas,Martin Fierro,Caribes,-34.882196,-56.166261
Bv Espana,Ellauri,Benito Blanco,-34.914897,-56.150400
L A de Herrera,Placido Ellauri,Rivera,-34.901934,-56.138191
Ricaldoni,Canning,Av Italia,-34.892799,-56.158819
Rambla,Errazquin,Sarmiento,-34.916586,-56.168989
Millan,Eugenio Alsina,Garzon,-34.834099,-56.222302
Saravia,Belloni,Gral Flores,-34.833040,-56.143735
8 de Octubre,Bv Batlle y Ordonez,Sanguinetti,-34.878660,-56.146580
Libertador,Uruguay,Mercedes,-34.903623,-56.193266
21 de Setiembre,Bv Espana,Bv Artigas,-34.912363,-56.164099
Gral Caraballo,Mendoza,Agraciada,-34.885789,-56.192950
Soca,Gestido,Rivera,-34.903760,-56.155750
Paullier,E V Haedo,Colonia,-34.897433,-56.169554
Raissignier,Cno Carrasco,8 de Octubre,-34.871110,-56.134320
Rambla,Piaggio,Pereyra,-34.901555,-56.123936
Ejido,18 de Julio,Colonia,-34.905312,-56.186851
Rambla,L A de Herrera,26 de Marzo,-34.906333,-56.133078
Gral Flores,Bv Batlle y Ordonez,Salari,-34.861922,-56.168100
Yaguaron,Colonia,18 de Julio,-34.905242,-56.188052
Centenario,Jaime Cibils,Av Italia,-34.890634,-56.155365
Lezica,Calderon de la Barca,Eduardo Raiz,-34.804487,-56.224491
26 de Marzo,Bonavita,Tezanos,-34.905258,-56.134153
Evaristo Ciganda,Millan,Agraciada,-34.876570,-56.197230
Av Brasil,Ellauri,26 de Marzo,-34.911150,-56.151809
Comercio,8 de Octubre,Av Italia,-34.886170,-56.130966
Soriano,Convencion,Andes,-34.908243,-56.197326
Bv Artigas,Palmar,Canaro,-34.899594,-56.164421
Rivera,Bv Artigas,Acevedo Diaz,-34.902088,-56.164534
Bv Artigas,Nueva Palmira,Garibaldi,-34.884889,-56.166067
Sarmiento,Requena,Rambla,-34.915369,-56.168358
Soriano,Santiago de Chile,Ejido,-34.907420,-56.185940
26 de Marzo,L A de Herrera,Bonavita,-34.905612,-56.135593
Bv Artigas,Sosa,21 de Setiembre,-34.913860,-56.162715
8 de Octubre,Serrato,Cipriano Miro,-34.874910,-56.140170
Av Italia,Avelino Miranda,Bv Artigas,-34.894478,-56.163857
Rio Negro,Libertador,Colonia,-34.904899,-56.193673
San Jose,Andes,Convencion,-34.907371,-56.197516
Bv Batlle y Ordonez,Pereyra,Rivera,-34.898010,-56.124030
Fernandez Crespo,La Paz,Miguelete,-34.896103,-56.181280
